player_id,player_name,shots,goals,xg,execution_value_sum,shots_up,goals_up,xg_up,execution_value_sum_up,touches_final_third,touches_in_box,deep_touches,deep_completions,touches_final_third_up,touches_in_box_up,deep_touches_up,deep_completions_up,key_passes_final_third,assists_final_third,passes_into_box,passes_into_deep_zone,key_passes_final_third_up,assists_final_third_up,passes_into_box_up,passes_into_deep_zone_up,deep_progressions_pass,deep_progressions_carry,deep_progressions_pass_deep,deep_progressions_carry_deep,deep_progressions_pass_up,deep_progressions_carry_up,deep_progressions_pass_deep_up,deep_progressions_carry_deep_up,dribbles_attempted_ft,dribbles_completed_ft,dribbles_attempted_ft_up,dribbles_completed_ft_up,miscontrols_ft,miscontrols_ft_up,dispossessed_ft,dispossessed_ft_up,fouls_won_ft,fouls_won_ft_up,xg_per_shot,goals_per_shot,execution_value_per_shot,xg_per_shot_up,goals_per_shot_up,execution_value_per_shot_up,dribble_success_ft,dribble_success_ft_up,box_touch_share,deep_touch_share,key_pass_rate,assist_rate,box_pass_rate,deep_pass_rate,prog_pass,prog_carry,fouls_won_rate,bad_touches,finishing_score,chance_creation_score,progression_score,dribbling_onball_score
3654,Daniel William John Ings,10,2,1.3592369489999998,0.6407630510000001,2,0,0.09848512300000001,-0.09848512300000001,182,45,39,29,44,12,9,10,5,0,7,6,1,0,0,0,7,5,0,0,1,1,0,0,7,3,7,3,6,2,5,5,2,2,0.13592369489999998,0.2,0.06407630510000001,0.049242561500000004,0.0,-0.049242561500000004,0.42857142857142855,0.42857142857142855,0.24725274725274726,0.21428571428571427,0.027472527472527472,0.0,0.038461538461538464,0.03296703296703297,7.0,5.0,0.01098901098901099,11,0.5467888692449341,0.17907092907092906,0.042887908393738836,0.7619047619047619
3501,Philippe Coutinho Correia,111,8,7.1282458560999995,0.8717541439000003,13,0,0.8955455615,-0.8955455615,1784,205,143,131,386,55,30,37,35,4,66,45,4,1,6,4,134,111,4,2,15,39,0,1,54,32,54,32,27,8,34,34,9,9,0.06421843113603604,0.07207207207207207,0.007853640936036039,0.06888812011538462,0.0,-0.06888812011538462,0.5925925925925926,0.5925925925925926,0.11491031390134529,0.08015695067264574,0.01961883408071749,0.002242152466367713,0.03699551569506727,0.02522421524663677,140.0,114.0,0.005044843049327354,61,0.24594828391885437,0.21566704035874443,0.9191616766467066,0.4198218392911965
4590,Nathaniel Edwin Clyne,30,1,2.3607290276000006,-1.3607290276,4,0,0.112124824,-0.112124824,1464,106,42,55,195,10,4,5,25,0,49,29,4,0,3,0,165,83,1,0,9,27,0,0,13,6,13,6,16,2,18,18,5,5,0.07869096758666669,0.03333333333333333,-0.04535763425333333,0.028031206,0.0,-0.028031206,0.46153846153846156,0.46153846153846156,0.07240437158469945,0.028688524590163935,0.01707650273224044,0.0,0.03346994535519126,0.01980874316939891,166.5,83.0,0.0034153005464480873,34,0.11408574081974265,0.12765461997019376,0.8625380817312743,0.4435907899022653
3493,Emre Can,31,1,2.1141365590000003,-1.1141365589999999,4,0,0.17447827999999999,-0.17447827999999999,895,118,98,64,214,35,28,18,16,0,28,19,4,0,4,3,135,69,5,0,10,28,0,0,17,11,17,11,27,3,21,21,4,4,0.06819795351612905,0.03225806451612903,-0.035939888999999996,0.043619569999999996,0.0,-0.043619569999999996,0.6470588235294118,0.6470588235294118,0.1318435754189944,0.10949720670391061,0.017877094972067038,0.0,0.03128491620111732,0.021229050279329607,142.5,69.0,0.004469273743016759,48,0.1846966807061702,0.1272778059928898,0.7292782855341948,0.4767953702557712
18872,Martin Škrtel,10,1,0.507316491,0.4926835089999999,7,0,0.375614219,-0.375614219,76,43,39,24,15,12,12,4,5,0,11,8,1,0,4,3,36,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507316491,0.1,0.049268350899999994,0.05365917414285715,0.0,-0.05365917414285715,,,0.5657894736842105,0.5131578947368421,0.06578947368421052,0.0,0.14473684210526316,0.10526315789473684,42.0,0.0,0.0,0,0.7077870912884275,0.5263157894736842,0.12574850299401197,0.5
7780,Lucas Pezzini Leiva,10,0,0.553640256,-0.553640256,2,0,0.077852691,-0.077852691,352,17,14,14,49,5,3,2,9,1,13,8,1,0,0,0,131,14,2,0,9,3,0,0,5,4,5,4,3,0,4,4,1,1,0.0553640256,0.0,-0.0553640256,0.0389263455,0.0,-0.0389263455,0.8,0.8,0.048295454545454544,0.03977272727272727,0.02556818181818182,0.002840909090909091,0.036931818181818184,0.022727272727272728,134.0,14.0,0.002840909090909091,7,0.0654628640754001,0.2564759814049587,0.462601113562349,0.6558712121212121
3473,James Philip Milner,39,5,3.976866179600001,1.0231338204000007,6,0,0.614759627,-0.614759627,1794,182,125,154,368,40,28,29,54,10,109,85,5,2,11,9,161,41,4,0,16,17,0,0,30,18,30,18,30,8,47,47,13,13,0.10197092768205131,0.1282051282051282,0.02623420052307694,0.10245993783333333,0.0,-0.10245993783333333,0.6,0.6,0.10144927536231885,0.06967670011148272,0.030100334448160536,0.005574136008918618,0.06075808249721293,0.04738015607580825,167.0,41.0,0.007246376811594203,77,0.30909668579893557,0.40745414006283576,0.6798245614035088,0.41980676328502414
3515,Alberto Moreno Pérez,34,1,1.4703509806,-0.4703509806000001,0,0,0.0,0.0,1481,125,59,88,167,12,7,9,49,1,78,62,4,0,5,5,108,61,3,2,2,15,0,1,25,13,25,13,12,2,16,16,5,5,0.04324561707647059,0.029411764705882353,-0.013833852370588238,,,,0.52,0.52,0.08440243079000675,0.039837947332883185,0.03308575286968265,0.0006752194463200541,0.05266711681296422,0.04186360567184335,112.5,64.0,0.00337609723160027,28,0.15080406094058577,0.2485160518077466,0.6175281016913541,0.4878628281464203
3483,Mamadou Sakho,6,1,0.9238965270000001,0.07610347300000003,2,0,0.115067754,-0.115067754,69,33,33,13,10,5,5,1,2,0,2,2,1,0,0,0,72,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1539827545,0.16666666666666666,0.012683912166666672,0.057533877,0.0,-0.057533877,,,0.4782608695652174,0.4782608695652174,0.028985507246376812,0.0,0.028985507246376812,0.028985507246376812,72.0,4.0,0.0,1,0.6848858886572222,0.16745718050065878,0.23311272192457191,0.4935064935064935
3539,Simon Mignolet,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,31.5,0.0,0.0,0,0.0,0.25,0.09431137724550898,0.5
3529,Daniel Andre Sturridge,46,8,5.1173310270000005,2.882668973,7,0,0.710790635,-0.710790635,784,194,153,73,188,40,26,26,5,1,19,12,1,0,2,1,19,25,2,0,3,13,0,0,19,9,19,9,21,6,16,16,7,7,0.11124632667391306,0.17391304347826086,0.06266671680434782,0.10154151928571428,0.0,-0.10154151928571428,0.47368421052631576,0.47368421052631576,0.24744897959183673,0.1951530612244898,0.006377551020408163,0.0012755102040816326,0.02423469387755102,0.015306122448979591,22.0,25.0,0.008928571428571428,37,0.5108231122748788,0.11025916048237476,0.17551738628007144,0.6018882433356118
10931,Joe Allen,12,2,2.123327118,-0.12332711800000014,0,0,0.0,0.0,294,66,51,28,79,14,12,10,8,1,12,10,2,0,3,2,34,11,0,0,6,2,0,0,7,5,7,5,4,2,7,7,3,3,0.17694392650000001,0.16666666666666666,-0.010277259833333345,,,,0.7142857142857143,0.7142857142857143,0.22448979591836735,0.17346938775510204,0.027210884353741496,0.003401360544217687,0.04081632653061224,0.034013605442176874,34.0,11.0,0.01020408163265306,11,0.41351309142085624,0.28997371675943107,0.15004202122071647,0.8333333333333334
4090,Adam David Lallana,42,4,3.885753834999999,0.11424616500000001,4,0,0.244964687,-0.244964687,1647,312,224,134,392,57,38,35,42,6,56,38,9,2,11,6,56,60,1,0,5,30,0,0,36,18,36,18,35,8,25,25,9,9,0.09251794845238093,0.09523809523809523,0.002720146785714286,0.06124117175,0.0,-0.06124117175,0.5,0.5,0.1894353369763206,0.13600485731633272,0.025500910746812388,0.0036429872495446266,0.03400121432908318,0.0230722525804493,57.5,60.0,0.00546448087431694,60,0.32223787005460375,0.27661036595462823,0.4353135833595966,0.40601566011402074
3471,Dejan Lovren,22,0,1.504936694,-1.504936694,10,0,0.6875075390000001,-0.6875075390000001,93,44,39,24,20,15,12,4,4,0,8,7,3,0,4,4,59,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.06840621336363636,0.0,-0.06840621336363636,0.0687507539,0.0,-0.0687507539,,,0.4731182795698925,0.41935483870967744,0.043010752688172046,0.0,0.08602150537634409,0.07526881720430108,62.0,2.0,0.0,1,0.41144258419923774,0.3308406647116324,0.19440067233953146,0.4935064935064935
