player_id,player_name,finishing_score,chance_creation_score,progression_score,dribbling_onball_score,finishing_score_pct,chance_creation_score_pct,progression_score_pct,dribbling_onball_score_pct
3654,Daniel William John Ings,0.5467888692449341,0.17907092907092906,0.042887908393738836,0.7619047619047619,0.84375,0.53125,0.3088235294117647,0.875
3501,Philippe Coutinho Correia,0.24594828391885437,0.21566704035874443,0.9191616766467066,0.4198218392911965,0.5625,0.59375,1.0,0.1875
4590,Nathaniel Edwin Clyne,0.11408574081974265,0.12765461997019376,0.8625380817312743,0.4435907899022653,0.375,0.4375,0.9705882352941176,0.21875
3493,Emre Can,0.1846966807061702,0.1272778059928898,0.7292782855341948,0.4767953702557712,0.5,0.40625,0.9411764705882353,0.3125
18872,Martin Škrtel,0.7077870912884275,0.5263157894736842,0.12574850299401197,0.5,0.96875,1.0,0.5882352941176471,0.625
7780,Lucas Pezzini Leiva,0.0654628640754001,0.2564759814049587,0.462601113562349,0.6558712121212121,0.25,0.75,0.8235294117647058,0.84375
3473,James Philip Milner,0.30909668579893557,0.40745414006283576,0.6798245614035088,0.41980676328502414,0.59375,0.9375,0.9117647058823529,0.15625
3515,Alberto Moreno Pérez,0.15080406094058577,0.2485160518077466,0.6175281016913541,0.4878628281464203,0.4375,0.6875,0.8823529411764706,0.34375
3483,Mamadou Sakho,0.6848858886572222,0.16745718050065878,0.23311272192457191,0.4935064935064935,0.9375,0.5,0.7058823529411765,0.4375
3539,Simon Mignolet,0.0,0.25,0.09431137724550898,0.5,0.078125,0.71875,0.4411764705882353,0.625
3529,Daniel Andre Sturridge,0.5108231122748788,0.11025916048237476,0.17551738628007144,0.6018882433356118,0.8125,0.375,0.6470588235294118,0.78125
10931,Joe Allen,0.41351309142085624,0.28997371675943107,0.15004202122071647,0.8333333333333334,0.71875,0.875,0.6176470588235294,0.96875
4090,Adam David Lallana,0.32223787005460375,0.27661036595462823,0.4353135833595966,0.40601566011402074,0.625,0.84375,0.7941176470588235,0.125
3471,Dejan Lovren,0.41144258419923774,0.3308406647116324,0.19440067233953146,0.4935064935064935,0.6875,0.90625,0.6764705882352942,0.4375
3532,Jordan Brian Henderson,0.2238459636961142,0.26562987012987016,0.47262054837693035,0.5233549783549784,0.53125,0.8125,0.8529411764705882,0.71875
4747,Divock Okoth Origi,0.5932737737314346,0.18461945031712473,0.11125118184683265,0.7751937984496123,0.90625,0.5625,0.5,0.90625
3635,Jordon Ibe,0.15752215010958262,0.16215026369893626,0.38350929719508353,0.47488900807484874,0.46875,0.46875,0.7647058823529411,0.28125
3535,Roberto Firmino Barbosa de Oliveira,0.42945833286771085,0.258985755145533,0.3515600378190986,0.3304864432640497,0.75,0.78125,0.7352941176470589,0.09375
38412,Kolo Habib Touré,0.8430232558139534,0.009615384615384616,0.07561193402668348,0.5,1.0,0.15625,0.38235294117647056,0.625
10007,Jon Flanagan,0.016882543420665294,0.04749712313003452,0.05946002731379346,0.8370047673845141,0.15625,0.21875,0.35294117647058826,1.0
3380,Christian Benteke Liolo,0.5059249031575335,0.22679101943807825,0.12096858913751443,0.4741334917805506,0.78125,0.65625,0.5588235294117647,0.25
13200,Oluwaseyi Babajide Ojo,0.10944494910500646,0.44473589651455264,0.11985240046223343,0.5709768492377187,0.34375,0.96875,0.5294117647058824,0.75
10326,João Carlos Vilaça Teixeira,0.0,0.0,0.0,0.4935064935064935,0.078125,0.078125,0.08823529411764706,0.4375
11992,Kevin Linford Stewart,0.0662343854860843,0.08438584316446912,0.10715411282697762,0.7827787140764239,0.28125,0.3125,0.47058823529411764,0.9375
4243,Cameron Brannagan,0.04820867379006914,0.1014127764127764,0.039893896417690936,0.49567099567099565,0.1875,0.34375,0.2647058823529412,0.53125
9985,Ádám Bogdán,,,0.0029940119760479044,,,,0.17647058823529413,
13448,Bradley Shaun Smith,0.12313951900597989,0.08301136363636365,0.042887908393738836,0.6123827561327562,0.40625,0.28125,0.3088235294117647,0.8125
4762,Sergi Canós Tenes,0.5563953488372093,0.0,0.0,0.4935064935064935,0.875,0.078125,0.08823529411764706,0.4375
3495,Joe Gomez,0.06395835977822371,0.08185064935064934,0.08480407605840949,0.31601731601731603,0.21875,0.25,0.4117647058823529,0.03125
8485,Pedro Chirivella Burgos,0.0,0.0,0.007379976888328606,0.5,0.078125,0.078125,0.20588235294117646,0.625
9914,Danny Ward,,,0.0,,,,0.08823529411764706,
20781,Jordan Rossiter,0.0,0.0,0.0,0.5,0.078125,0.078125,0.08823529411764706,0.625
9958,Steven Caulker,0.40199173501047913,0.21969696969696967,0.0,0.4935064935064935,0.65625,0.625,0.08823529411764706,0.4375
22058,Connor Steven Randall,0.06814360044998224,0.03198653198653199,0.031332072696711843,0.3246753246753247,0.3125,0.1875,0.23529411764705882,0.0625
